Year,States,Total,Compensatory,special education,Child nutrition,Vocational,others,,,,,,,
1995,New Jersey,385482.00 ,144217.00 ,80168.00 ,93961.00 ,14568.00 ,52568.00 ,,,,,,,
1995,New Mexico,132195.00 ,56779.00 ,15422.00 ,40857.00 ,540.00 ,18597.00 ,,,,,,,
1995,New York,1350628.00 ,638233.00 ,106122.00 ,298580.00 ,22334.00 ,285359.00 ,,,,,,,
1995,North Carolina,404692.00 ,132775.00 ,62072.00 ,171357.00 ,18833.00 ,19655.00 ,,,,,,,
1995,North Dakota,47222.00 ,16566.00 ,6856.00 ,9168.00 ,2806.00 ,11826.00 ,,,,,,,
1995,Ohio,588100.00 ,273918.00 ,86772.00 ,153737.00 ,33419.00 ,40254.00 ,,,,,,,
1995,Oklahoma,231686.00 ,78596.00 ,29497.00 ,80321.00 ,23720.00 ,19552.00 ,,,,,,,
1995,Oregon,216217.00 ,73299.00 ,20842.00 ,50795.00 ,7941.00 ,63340.00 ,,,,,,,
1995,Pennsylvania,677113.00 ,289866.00 ,74849.00 ,172325.00 ,30601.00 ,109472.00 ,,,,,,,
1995,Rhode Island,47772.00 ,19949.00 ,7347.00 ,11292.00 ,3193.00 ,5991.00 ,,,,,,,
1995,South Carolina,280773.00 ,88846.00 ,38885.00 ,101813.00 ,16046.00 ,35183.00 ,,,,,,,
1995,South Dakota,42503.00 ,18610.00 ,4796.00 ,12065.00 ,651.00 ,6381.00 ,,,,,,,
1995,Tennessee,316476.00 ,115653.00 ,47294.00 ,108553.00 ,14414.00 ,30562.00 ,,,,,,,
1995,Texas,1408348.00 ,575692.00 ,137574.00 ,510748.00 ,78759.00 ,105575.00 ,,,,,,,
1995,Utah,121227.00 ,30137.00 ,18953.00 ,44100.00 ,4862.00 ,23175.00 ,,,,,,,
1995,Vermont,31382.00 ,13255.00 ,3881.00 ,7018.00 ,2962.00 ,4266.00 ,,,,,,,
1995,Virginia,304069.00 ,100524.00 ,56153.00 ,104515.00 ,16027.00 ,26850.00 ,,,,,,,
1995,Washington,267309.00 ,99125.00 ,38628.00 ,79744.00 ,7246.00 ,42566.00 ,,,,,,,
1995,West Virginia,150464.00 ,60151.00 ,16664.00 ,44525.00 ,5740.00 ,23384.00 ,,,,,,,
1995,Wisconsin,242030.00 ,109182.00 ,40533.00 ,60657.00 ,5747.00 ,25911.00 ,,,,,,,
1995,Wyoming,34295.00 ,12770.00 ,3945.00 ,7975.00 ,2437.00 ,7168.00 ,,,,,,,
1996,United States,17038580.00 ,6307199.00 ,2255219.00 ,5228761.00 ,531421.00 ,2715980.00 ,,,,,,,
1996,Alabama,321992.00 ,122571.00 ,43498.00 ,112483.00 ,10282.00 ,33158.00 ,,,,,,,
1996,Alaska,46848.00 ,14563.00 ,6849.00 ,15390.00 ,3044.00 ,7002.00 ,,,,,,,
1996,Arizona,283310.00 ,103266.00 ,30085.00 ,96336.00 ,12265.00 ,41358.00 ,,,,,,,
1996,Arkansas,188710.00 ,73587.00 ,18617.00 ,68715.00 ,6927.00 ,20864.00 ,,,,,,,
1996,California,2362386.00 ,781082.00 ,295024.00 ,749220.00 ,57016.00 ,480044.00 ,,,,,,,
1996,Colorado,172407.00 ,60278.00 ,25756.00 ,52014.00 ,6485.00 ,27874.00 ,,,,,,,
1996,Connecticut,147586.00 ,49865.00 ,31979.00 ,42050.00 ,6220.00 ,17472.00 ,,,,,,,
1996,Delaware,41059.00 ,15817.00 ,6038.00 ,11591.00 ,2947.00 ,4666.00 ,,,,,,,
1996,District of Columbia,51342.00 ,20539.00 ,3311.00 ,18787.00 ,4215.00 ,4490.00 ,,,,,,,
1996,Florida,859712.00 ,284760.00 ,117902.00 ,328785.00 ,27477.00 ,100788.00 ,,,,,,,
1996,Georgia,492050.00 ,167932.00 ,56339.00 ,194185.00 ,13781.00 ,59813.00 ,,,,,,,
1996,Hawaii,71893.00 ,19751.00 ,7135.00 ,23912.00 ,3572.00 ,17523.00 ,,,,,,,
1996,Idaho,71196.00 ,25326.00 ,9052.00 ,23918.00 ,2452.00 ,10448.00 ,,,,,,,
1996,Illinois,689736.00 ,317025.00 ,54535.00 ,195520.00 ,11129.00 ,111527.00 ,,,,,,,
1996,Indiana,299939.00 ,91912.00 ,59613.00 ,82876.00 ,14073.00 ,51465.00 ,,,,,,,
1996,Iowa,139242.00 ,51017.00 ,22562.00 ,43498.00 ,8802.00 ,13363.00 ,,,,,,,
1996,Kansas,129135.00 ,50778.00 ,11489.00 ,55027.00 ,3554.00 ,8287.00 ,,,,,,,
1996,Kentucky,287605.00 ,124240.00 ,35801.00 ,100516.00 ,6346.00 ,20702.00 ,,,,,,,
1996,Louisiana,434763.00 ,189409.00 ,38118.00 ,159333.00 ,10269.00 ,37634.00 ,,,,,,,
1996,Maine,72571.00 ,26092.00 ,17718.00 ,19355.00 ,2057.00 ,7349.00 ,,,,,,,
1996,Maryland,237233.00 ,84492.00 ,45090.00 ,76083.00 ,8185.00 ,23383.00 ,,,,,,,
1996,Massachusetts,284045.00 ,121415.00 ,59330.00 ,65064.00 ,10804.00 ,27432.00 ,,,,,,,
1996,Michigan,599238.00 ,287884.00 ,99944.00 ,91462.00 ,17369.00 ,102579.00 ,,,,,,,
1996,Minnesota,225720.00 ,82697.00 ,44480.00 ,66775.00 ,64.00 ,31704.00 ,,,,,,,
1996,Mississippi,279800.00 ,116898.00 ,27874.00 ,111783.00 ,4876.00 ,18369.00 ,,,,,,,
1996,Missouri,311350.00 ,106643.00 ,47599.00 ,97228.00 ,11856.00 ,48024.00 ,,,,,,,
1996,Montana,58692.00 ,25588.00 ,8515.00 ,14472.00 ,2673.00 ,7444.00 ,,,,,,,
1996,Nebraska,86746.00 ,27289.00 ,17049.00 ,25553.00 ,2759.00 ,14096.00 ,,,,,,,
1996,Nevada,60290.00 ,17431.00 ,11313.00 ,21080.00 ,2908.00 ,7558.00 ,,,,,,,
1996,New Hampshire,35802.00 ,11285.00 ,5297.00 ,9837.00 ,3227.00 ,6156.00 ,,,,,,,
1996,New Jersey,389365.00 ,140919.00 ,80987.00 ,97755.00 ,11701.00 ,58003.00 ,,,,,,,
1996,New Mexico,138377.00 ,58777.00 ,17469.00 ,47793.00 ,379.00 ,13959.00 ,,,,,,,
1996,New York,1474470.00 ,519125.00 ,171927.00 ,315843.00 ,15740.00 ,451835.00 ,,,,,,,
1996,North Carolina,407445.00 ,126637.00 ,62209.00 ,178443.00 ,18040.00 ,22116.00 ,,,,,,,
1996,North Dakota,46020.00 ,16918.00 ,4798.00 ,9262.00 ,2698.00 ,12344.00 ,,,,,,,
1996,Ohio,704629.00 ,295812.00 ,93252.00 ,153659.00 ,33556.00 ,128350.00 ,,,,,,,
1996,Oklahoma,234528.00 ,86305.00 ,28257.00 ,82234.00 ,21241.00 ,16491.00 ,,,,,,,
1996,Oregon,185033.00 ,78767.00 ,20671.00 ,48538.00 ,8392.00 ,28665.00 ,,,,,,,
1996,Pennsylvania,721469.00 ,294300.00 ,100676.00 ,182056.00 ,29194.00 ,115243.00 ,,,,,,,
1996,Rhode Island,51985.00 ,20890.00 ,8962.00 ,13557.00 ,3578.00 ,4998.00 ,,,,,,,
1996,South Carolina,277090.00 ,88314.00 ,39535.00 ,103609.00 ,13451.00 ,32181.00 ,,,,,,,
1996,South Dakota,42935.00 ,18710.00 ,4998.00 ,11976.00 ,619.00 ,6632.00 ,,,,,,,
1996,Tennessee,325600.00 ,114082.00 ,55816.00 ,109976.00 ,15756.00 ,29970.00 ,,,,,,,
1996,Texas,1519814.00 ,540677.00 ,119064.00 ,542702.00 ,35071.00 ,282300.00 ,,,,,,,
1996,Utah,123541.00 ,31166.00 ,19566.00 ,44269.00 ,4875.00 ,23665.00 ,,,,,,,
1996,Vermont,36128.00 ,13688.00 ,4223.00 ,8129.00 ,2846.00 ,7242.00 ,,,,,,,
1996,Virginia,297899.00 ,94854.00 ,57416.00 ,107738.00 ,15149.00 ,22742.00 ,,,,,,,
1996,Washington,280281.00 ,104454.00 ,45674.00 ,85858.00 ,6584.00 ,37711.00 ,,,,,,,
1996,West Virginia,152800.00 ,64200.00 ,16554.00 ,42206.00 ,6834.00 ,23006.00 ,,,,,,,
1996,Wisconsin,251798.00 ,112934.00 ,41412.00 ,62156.00 ,5860.00 ,29436.00 ,,,,,,,
1996,Wyoming,34975.00 ,14238.00 ,3841.00 ,8154.00 ,2223.00 ,6519.00 ,,,,,,,
1998,United States,19753098.00 ,6995042.00 ,2789594.00 ,5961077.00 ,579670.00 ,3427715.00 ,,,,,,,
1998,Alabama,351908.00 ,131295.00 ,47147.00 ,121874.00 ,7146.00 ,44446.00 ,,,,,,,
1998,Alaska,71433.00 ,23056.00 ,8798.00 ,17567.00 ,2953.00 ,19059.00 ,,,,,,,
1998,Arizona,346249.00 ,148231.00 ,35838.00 ,109105.00 ,14024.00 ,39051.00 ,,,,,,,
1998,Arkansas,216153.00 ,76200.00 ,23227.00 ,72467.00 ,10234.00 ,34025.00 ,,,,,,,
1998,California,2868520.00 ,856182.00 ,386481.00 ,849223.00 ,57863.00 ,718771.00 ,,,,,,,
1998,Colorado,199314.00 ,69614.00 ,33521.00 ,55751.00 ,4103.00 ,36325.00 ,,,,,,,
1998,Connecticut,174170.00 ,66661.00 ,32832.00 ,48366.00 ,6827.00 ,19484.00 ,,,,,,,
1998,Delaware,51863.00 ,16805.00 ,7237.00 ,13618.00 ,3184.00 ,11019.00 ,,,,,,,
1998,District of Columbia,105413.00 ,24058.00 ,3513.00 ,22621.00 ,3701.00 ,51520.00 ,,,,,,,
1998,Florida,1028134.00 ,339842.00 ,141080.00 ,364256.00 ,30528.00 ,152428.00 ,,,,,,,
1998,Georgia,575867.00 ,192776.00 ,77547.00 ,229346.00 ,14561.00 ,61637.00 ,,,,,,,
1998,Hawaii,81617.00 ,20255.00 ,8265.00 ,29347.00 ,5127.00 ,18623.00 ,,,,,,,
1998,Idaho,80299.00 ,24749.00 ,10761.00 ,25200.00 ,3374.00 ,16215.00 ,,,,,,,
1998,Illinois,926053.00 ,320382.00 ,115972.00 ,232288.00 ,21537.00 ,235874.00 ,,,,,,,
1998,Indiana,335902.00 ,111791.00 ,77487.00 ,85312.00 ,15954.00 ,45358.00 ,,,,,,,
1998,Iowa,159266.00 ,52474.00 ,33232.00 ,46528.00 ,7907.00 ,19125.00 ,,,,,,,
1998,Kansas,173374.00 ,45833.00 ,19917.00 ,57046.00 ,3625.00 ,46953.00 ,,,,,,,
1998,Kentucky,343275.00 ,130912.00 ,44709.00 ,113527.00 ,6710.00 ,47417.00 ,,,,,,,
1998,Louisiana,460610.00 ,191480.00 ,45398.00 ,167625.00 ,10658.00 ,45449.00 ,,,,,,,
1998,Maine,78245.00 ,29074.00 ,23275.00 ,17278.00 ,2013.00 ,6605.00 ,,,,,,,
1998,Maryland,289520.00 ,96315.00 ,53666.00 ,87161.00 ,8133.00 ,44245.00 ,,,,,,,
1998,Massachusetts,345429.00 ,143026.00 ,74672.00 ,95858.00 ,3434.00 ,28439.00 ,,,,,,,
1998,Michigan,828011.00 ,316139.00 ,126586.00 ,142634.00 ,27272.00 ,215380.00 ,,,,,,,
1998,Minnesota,295969.00 ,85652.00 ,56016.00 ,76106.00 ,2043.00 ,76152.00 ,,,,,,,
1998,Mississippi,310352.00 ,126497.00 ,32057.00 ,120482.00 ,5199.00 ,26117.00 ,,,,,,,
1998,Missouri,371769.00 ,121315.00 ,55953.00 ,109998.00 ,11930.00 ,72573.00 ,,,,,,,
1998,Montana,61604.00 ,26809.00 ,9351.00 ,15446.00 ,2649.00 ,7349.00 ,,,,,,,
1998,Nebraska,107432.00 ,32507.00 ,22334.00 ,28777.00 ,2816.00 ,20998.00 ,,,,,,,
1998,Nevada,78308.00 ,21376.00 ,13599.00 ,25817.00 ,4052.00 ,13464.00 ,,,,,,,
1998,New Hampshire,46638.00 ,13152.00 ,8494.00 ,10468.00 ,5171.00 ,9353.00 ,,,,,,,
